Message,SystemTOV,GPSTOV,TimeSinceLastMsg,"LinearAccelerationX(m/s^2)","LinearAccelerationY(m/s^2)","LinearAccelerationZ(m/s^2)","AngularRateX(rad/s)","AngularRateY(rad/s)","AngularRateZ(rad/s)"
0x2311,2116.1673374781,199291.96078968,0.0100000000002183,-9.806963,-0.01661293,-0.05355831,4.338799E-05,0.0004186644,-7.116469E-05
0x2311,2116.1773374781,199291.97078968,0.00999999999976353,-9.805891,-0.01491066,-0.05734302,-0.0001384062,4.816102E-05,-0.0001239823
0x2311,2116.1873374781,199291.98078968,0.0100000000002183,-9.810122,-0.004047342,-0.04762616,0.0001192093,0.0001953798,-0.0002318644
0x2311,2116.1973374781,199291.99078968,0.00999999999976353,-9.802082,0.004932284,-0.0466099,-6.5926E-05,-0.0001898967,-0.0003447523
0x2311,2116.2073374781,199292.00078968,0.0100000000002183,-9.798471,-0.008139014,-0.06059166,5.293405E-05,-2.002344E-05,-2.634479E-05
0x2311,2116.2173374781,199292.01078968,0.00999999999976353,-9.804062,-0.01550727,-0.05575828,7.427298E-05,-7.152557E-05,-0.0004496542
0x2311,2116.2273374781,199292.02078968,0.0100000000002183,-9.811905,-0.01230855,-0.05620234,1.895241E-05,-0.0003685942,-0.000324368
0x2311,2116.2373374781,199292.03078968,0.00999999999976353,-9.814373,-0.002597459,-0.04365556,-0.0001826324,-0.0001145643,-7.450581E-05
0x2311,2116.2373374781,199292.03078968,0,-9.814373,-0.002597459,-0.04365556,-0.0001826324,-0.0001145643,-7.450581E-05
0x2311,2116.2373374781,199292.03078968,0,-9.814373,-0.002597459,-0.04365556,-0.0001826324,-0.0001145643,-7.450581E-05
0x2311,2116.2373374781,199292.03078968,0,-9.814373,-0.002597459,-0.04365556,-0.0001826324,-0.0001145643,-7.450581E-05
0x2311,2116.2473374781,199292.040792087,0.0100000000002183,-9.81369,-0.009740144,-0.05266182,5.948823E-05,-0.0005031819,-0.0003056484
0x2311,2116.2573374781,199292.050792087,0.00999999999976353,-9.814981,-0.01281556,-0.05445126,0.0001959852,8.678762E-05,-0.0001269625
0x2311,2116.2673374781,199292.060792087,0.0100000000002183,-9.81443,-0.01330264,-0.05298518,0.0001868,-0.000389223,-0.0001063338
0x2311,2116.2773374781,199292.070792087,0.0100000000002183,-9.80882,-0.006067008,-0.04201252,0.0001144363,0.0001367298,-0.0003167428
0x2311,2116.2773374781,199292.070792087,0,-9.80882,-0.006067008,-0.04201252,0.0001144363,0.0001367298,-0.0003167428
0x2311,2116.2773374781,199292.070792087,0,-9.80882,-0.006067008,-0.04201252,0.0001144363,0.0001367298,-0.0003167428
0x2311,2116.2773374781,199292.070792087,0,-9.80882,-0.006067008,-0.04201252,0.0001144363,0.0001367298,-0.0003167428
0x2311,2116.2773374781,199292.070792087,0,-9.80882,-0.006067008,-0.04201252,0.0001144363,0.0001367298,-0.0003167428
0x2311,2116.2873374781,199292.080792087,0.00999999999976353,-9.802347,-0.007575192,-0.04504733,-0.0001074048,-0.0005450216,-4.816102E-05
0x2311,2116.2973374781,199292.090792087,0.0100000000002183,-9.797244,-0.01507234,-0.05061775,-8.631032E-05,-0.0001565204,-6.877817E-05
0x2311,2116.3073374781,199292.100792087,0.00999999999976353,-9.811166,-0.01927447,-0.04644133,7.712515E-05,-4.149042E-05,-2.050074E-05
0x2311,2116.3173374781,199292.110792087,0.0100000000002183,-9.821405,-0.008636713,-0.04766677,0.0001478242,-8.690404E-05,-0.0002375804
0x2311,2116.3273374781,199292.120792087,0.00999999999976353,-9.822392,-0.004230067,-0.04078466,-0.0001959852,-0.0001255306,-0.000300887
0x2311,2116.3373374781,199292.130792087,0.0100000000002183,-9.814699,-0.01408048,-0.04744362,-8.260831E-05,-2.813758E-05,4.374888E-05
0x2311,2116.3473374781,199292.140792087,0.00999999999976353,-9.808822,-0.01569558,-0.04141498,5.865004E-05,0.0003285357,9.895302E-06
0x2311,2116.3573374781,199292.150792087,0.0100000000002183,-9.808666,-0.01446307,-0.0367349,-7.962808E-05,-0.0001856126,6.902264E-05
0x2311,2116.3673374781,199292.160792087,0.00999999999976353,-9.808479,0.001024269,-0.03682561,-0.0001111068,5.710172E-05,-2.443558E-05
0x2311,2116.3773374781,199292.170792087,0.0100000000002183,-9.803185,-0.005498528,-0.04067086,-8.11764E-05,-0.0005216571,0.0003018416
0x2311,2116.3873374781,199292.180792087,0.00999999999976353,-9.801485,-0.01528505,-0.04641116,8.869683E-05,0.0002559391,-0.0002213754
0x2311,2116.3873374781,199292.180792087,0,-9.801485,-0.01528505,-0.04641116,8.869683E-05,0.0002559391,-0.0002213754
0x2311,2116.3973374781,199292.190792087,0.0100000000002183,-9.806808,-0.009865686,-0.04669707,-4.351605E-05,-0.0002274523,-0.000187871
0x2311,2116.4073374781,199292.200792087,0.00999999999976353,-9.827935,-0.002018549,-0.0354303,-5.530892E-05,0.0001100358,-6.831251E-05
0x2311,2116.4173374781,199292.210792087,0.0100000000002183,-9.811598,-0.006103143,-0.04407987,-0.0002390123,-0.0004553818,-0.0001816778
0x2311,2116.4273374781,199292.220792087,0.00999999999976353,-9.817009,-0.01208652,-0.0522444,-4.291069E-05,0.0002794317,-8.881325E-05
0x2311,2116.4273374781,199292.220792087,0,-9.817009,-0.01208652,-0.0522444,-4.291069E-05,0.0002794317,-8.881325E-05
0x2311,2116.4273374781,199292.220792087,0,-9.817009,-0.01208652,-0.0522444,-4.291069E-05,0.0002794317,-8.881325E-05
0x2311,2116.4273374781,199292.220792087,0,-9.817009,-0.01208652,-0.0522444,-4.291069E-05,0.0002794317,-8.881325E-05
0x2311,2116.4273374781,199292.220792087,0,-9.817009,-0.01208652,-0.0522444,-4.291069E-05,0.0002794317,-8.881325E-05
0x2311,2116.4373374781,199292.230792087,0.0100000000002183,-9.817282,-0.01195036,-0.05046781,-3.683381E-05,4.195608E-05,0.0001611654
0x2311,2116.4473374781,199292.240792087,0.00999999999976353,-9.822604,-0.002480112,-0.04163925,0.000177382,0.0001649838,-9.65083E-06
0x2311,2116.4573374781,199292.250792087,0.0100000000002183,-9.817009,0.003755651,-0.04197769,-4.816102E-05,0.0003207941,3.230525E-05
